date,open,high,low,close,volume
2018/3/30,383.07,411.41,362,393.46,92799.41
2018/3/29,446.49,448.5,378.86,383.07,78007.79
2018/3/28,449.41,465.85,440,446.49,22678.78
2018/3/27,485.79,492.09,445.08,449.41,51374.77
2018/3/26,521.99,525.55,466.72,485.79,46310.09
2018/3/25,519.99,535.68,512.59,521.99,13946.26
2018/3/24,543.03,545.55,518.66,519.99,16223.12
2018/3/23,540.12,543.2,506,543.03,26831.19
2018/3/22,560.52,578.58,517.45,540.12,29000.28
2018/3/21,557.41,590.69,545,560.52,42065.02
2018/3/20,555.68,567.49,515.38,557.41,41228.07
2018/3/19,538,559,515.47,555.68,50383.27
2018/3/18,550.1,561.52,453.01,538,79232.22
2018/3/17,599.87,610,542.75,550.1,21796.89
2018/3/16,611.02,625.51,583.4,599.87,30596.65
2018/3/15,613.07,620,571.56,611.02,44548.03
2018/3/14,690.01,703.51,584,613.07,38834.72
2018/3/13,695.5,715,680,690.01,27159.25
2018/3/12,720.38,740.7,676,695.5,25021.99
2018/3/11,682.87,737.14,662.48,720.38,17188.71
2018/3/10,726.13,750,676.21,682.87,14417.57
2018/3/9,698.06,732.31,640.55,726.13,53099.98
2018/3/8,750.42,773.12,686.5,698.06,32177.2
2018/3/7,813.09,825.61,723.13,750.42,41014.67
2018/3/6,848,850.99,802.55,813.09,18233.71
2018/3/5,862.28,869.21,848,848,8662.08
2018/3/4,853.76,866.43,837.17,862.28,5387.93
2018/3/3,856.08,868.7,849,853.76,5600.73
2018/3/2,869.01,875.17,847.93,856.08,7584.52
2018/3/1,850.16,881.47,845.81,869.01,16063.6
2018/2/28,870.32,889.85,848.46,850.16,15701.07
2018/2/27,868.4,896,861,870.32,14062.01
2018/2/26,842.65,880,834.77,868.4,15603.01
2018/2/25,835.74,851.38,818.38,842.65,8988.89
2018/2/24,851.98,878,809.01,835.74,11028.29
2018/2/23,803.57,883.44,787,851.98,20669.2
2018/2/22,837.98,871.81,789.99,803.57,26905.05
2018/2/21,884.24,906.09,816,837.98,34498.71
2018/2/20,938.05,958.74,874,884.24,25435.77
2018/2/19,912.85,955.58,906,938.05,14832.72
2018/2/18,977.74,983.31,905.52,912.85,28492.25
2018/2/17,940,980,935.25,977.74,20558.71
2018/2/16,927.91,947.87,908,940,23773.48
2018/2/15,922.98,951.25,905,927.91,41358.45
2018/2/14,841.82,924.52,839.75,922.98,43648.22
2018/2/13,865.57,869.14,819.31,841.82,24840.28
2018/2/12,809.69,877.95,808.52,865.57,23687.09
2018/2/11,851.83,855.19,775.99,809.69,25362.86
2018/2/10,875.1,913.3,815,851.83,32319.24
2018/2/9,812.01,883.07,780.88,875.1,40273.37
2018/2/8,752.89,846.28,748.42,812.01,40467.32
2018/2/7,784.01,866.05,720.01,752.89,75081.13
2018/2/6,692.36,808,565,784.01,157935.75
2018/2/5,826.51,855,632,692.36,128779.91
2018/2/4,969.93,969.96,782,826.51,37124.18
2018/2/3,918.39,995,838.67,969.93,27592.49
2018/2/2,1022.08,1022.08,731,918.39,184904.24
2018/2/1,1110.14,1152.05,936,1022.08,92033.55
2018/1/31,1051.54,1118.88,1010.77,1110.14,34149.47
2018/1/30,1168,1172,1025.77,1051.54,61847.15
2018/1/29,1229.41,1239,1141,1168,40475.91
2018/1/28,1115.51,1240,1099.76,1229.41,29175.42
2018/1/27,1051.81,1126.01,1034.45,1115.51,29317.95
2018/1/26,1050,1075.9,984,1051.81,39359.62
2018/1/25,1065,1105,1014.48,1050,62196.24
2018/1/24,983.7,1069.65,957.69,1065,44493.76
2018/1/23,997.21,1024.98,905,983.7,61938.03
2018/1/22,1049.09,1092,917,997.21,48389.73
2018/1/21,1150,1151,1008,1049.09,37050.56
2018/1/20,1036.03,1171,1036.03,1150,31922.41
2018/1/19,1024.69,1095,995.01,1036.03,49838.57
2018/1/18,1029.22,1105,951.12,1024.69,96056.34
